Company,Company Headcount,Industry
PowerShares S&P SmallCap Materials Portfolio,10000+,n/a
"Natural Alternatives International, Inc.",501-1000,Specialty Chemicals
First Bancorp,10000+,Major Banks
"Customers Bancorp, Inc",201-500,n/a
"Transcontinental Realty Investors, Inc.",10000+,Real Estate Investment Trusts
Nationstar Mortgage Holdings Inc.,201-500,Finance: Consumer Services
"SB Financial Group, Inc.",10000+,Major Banks
SandRidge Mississippian Trust II,10000+,Oil & Gas Production
First Trust Asia Pacific Ex-Japan AlphaDEX Fund,501-1000,n/a
Zoetis Inc.,501-1000,Major Pharmaceuticals
China Recycling Energy Corporation,1001-5000,Business Services
Towne Bank,1001-5000,n/a
Marvell Technology Group Ltd.,501-1000,Semiconductors
Nuven Mortgage Opportunity Term Fund 2,201-500,n/a
Sunrun Inc.,10000+,Industrial Specialties
Enterprise Products Partners L.P.,201-500,Natural Gas Distribution
"Stag Industrial, Inc.",10000+,n/a
"PNM Resources, Inc. (Holding Co.)",501-1000,Electric Utilities: Central
Function(x) Inc.,10000+,"Computer Software: Programming, Data Processing"
Qualstar Corporation,1001-5000,Electronic Components
Calamos Dynamic Convertible & Income Fund,501-1000,n/a
Realogy Holdings Corp.,10000+,Real Estate
"Banc of California, Inc.",10000+,n/a
"Bottomline Technologies, Inc.",10000+,Computer Software: Prepackaged Software
RadiSys Corporation,10000+,Computer peripheral equipment
Gulfport Energy Corporation,1001-5000,Oil & Gas Production
Novadaq Technologies Inc,10000+,Biotechnology: Electromedical & Electrotherapeutic Apparatus
"L3 Technologies, Inc.",501-1000,Radio And Television Broadcasting And Communications Equipment
"Corvus Pharmaceuticals, Inc.",10000+,Major Pharmaceuticals
Bank of the Ozarks,501-1000,Major Banks
First Trust Municipal CEF Income Opportunity ETF,201-500,n/a
SPX Corporation,501-1000,Industrial Machinery/Components
PowerShares KBW High Dividend Yield Financial Portfolio,201-500,n/a
Atlassian Corporation Plc,1001-5000,Computer Software: Prepackaged Software
NQ Mobile Inc.,1001-5000,Computer Software: Prepackaged Software
"AmTrust Financial Services, Inc.",201-500,Property-Casualty Insurers
Occidental Petroleum Corporation,10000+,Oil & Gas Production
St. Joe Company (The),501-1000,Homebuilding
United States Cellular Corporation,201-500,Telecommunications Equipment
"Fidelity National Information Services, Inc.",1001-5000,Business Services
"Covenant Transportation Group, Inc.",10000+,Trucking Freight/Courier Services
"Anthem, Inc.",10000+,Medical Specialities
Norbord Inc.,10000+,Forest Products
Novanta Inc.,501-1000,Industrial Machinery/Components
"Medidata Solutions, Inc.",1001-5000,Computer Software: Prepackaged Software
General Electric Capital Corporation,201-500,Consumer Electronics/Appliances
1st Constitution Bancorp (NJ),10000+,Savings Institutions
Telecom Argentina Stet - France Telecom S.A.,201-500,Telecommunications Equipment
"Reven Housing REIT, Inc.",201-500,Real Estate Investment Trusts
"National Presto Industries, Inc.",501-1000,Ordnance And Accessories
Avista Healthcare Public Acquisition Corp.,201-500,Business Services
"SunCoke Energy Partners, L.P.",501-1000,Steel/Iron Ore
Amgen Inc.,1001-5000,Biotechnology: Biological Products (No Diagnostic Substances)
"Match Group, Inc.",10000+,"Computer Software: Programming, Data Processing"
Quotient Technology Inc.,501-1000,Advertising
"A10 Networks, Inc.",10000+,Computer Communications Equipment
"Match Group, Inc.",201-500,"Computer Software: Programming, Data Processing"
"Luxottica Group, S.p.A.",10000+,Ophthalmic Goods
Euro Tech Holdings Company Limited,501-1000,Diversified Electronic Products
"Stericycle, Inc.",1001-5000,Environmental Services
Encana Corporation,201-500,Oil & Gas Production
Semgroup Corporation,501-1000,Oilfield Services/Equipment
"RiverNorth/DoubleLine Strategic Opportunity Fund, Inc.",10000+,n/a
Terex Corporation,10000+,Construction/Ag Equipment/Trucks
Insight Select Income Fund,501-1000,n/a
ProQR Therapeutics N.V.,501-1000,Major Pharmaceuticals
"Southcross Energy Partners, L.P.",10000+,Natural Gas Distribution
Nuveen New York Quality Municipal Income Fund,1001-5000,n/a
Alere Inc.,201-500,Biotechnology: In Vitro & In Vivo Diagnostic Substances
Western Digital Corporation,1001-5000,Electronic Components
INVESCO MORTGAGE CAPITAL INC,501-1000,Real Estate Investment Trusts
"XG Technology, Inc",201-500,Telecommunications Equipment
Deere & Company,1001-5000,Industrial Machinery/Components
"Synthetic Fixed-Income Securities, Inc.",201-500,Finance: Consumer Services
"Spirit Airlines, Inc.",501-1000,Air Freight/Delivery Services
"P.A.M. Transportation Services, Inc.",1001-5000,Trucking Freight/Courier Services
"Apogee Enterprises, Inc.",10000+,Auto Parts:O.E.M.
"Orexigen Therapeutics, Inc.",201-500,Major Pharmaceuticals
"MEI Pharma, Inc.",501-1000,Major Pharmaceuticals
Quotient Technology Inc.,201-500,Advertising
RELX N.V.,201-500,Publishing
WisdomTree Emerging Markets Consumer Growth Fund,501-1000,n/a
New Mountain Finance Corporation,10000+,n/a
Olin Corporation,1001-5000,Major Chemicals
CrossAmerica Partners LP,201-500,Oil Refining/Marketing
"PCM, Inc.",1001-5000,Catalog/Specialty Distribution
State Street Corporation,501-1000,n/a
"J. Jill, Inc.",501-1000,Apparel
"Cullen/Frost Bankers, Inc.",201-500,Major Banks
Vanguard Russell 1000 ETF,501-1000,n/a
"Wheeler Real Estate Investment Trust, Inc.",1001-5000,Real Estate Investment Trusts
"Soligenix, Inc.",201-500,Major Pharmaceuticals
Pacific Coast Oil Trust,201-500,Oil & Gas Production
BlueStar TA-BIGITech Israel Technology ETF,201-500,n/a
